,DEPARTAMENTO,ID DEPATAMENTO,MUNICIPIO
0,AMAZONAS,91,LETICIA
1,AMAZONAS,91,PUERTO NARIÑO
2,AMAZONAS,91,TARAPACÁ (ANM)
3,ANTIOQUIA,5,VIGÍA DEL FUERTE
4,ANTIOQUIA,5,VIGÍA DEL FUERTE
5,ANTIOQUIA,5,VIGÍA DEL FUERTE
6,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88,PROVIDENCIA
7,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88,SAN ANDRÉS
8,BOLÍVAR,13,CARTAGENA DE INDIAS
9,BOLÍVAR,13,CARTAGENA DE INDIAS
10,BOLÍVAR,13,CARTAGENA DE INDIAS
11,CAQUETÁ,18,CARTAGENA DEL CHAIRÁ
12,CAQUETÁ,18,SAN VICENTE DEL CAGUÁN
13,CASANARE,85,TRINIDAD
14,CAUCA,19,LÓPEZ DE MICAY
15,CAUCA,19,LÓPEZ DE MICAY
16,CAUCA,19,LÓPEZ DE MICAY
17,CAUCA,19,LÓPEZ DE MICAY
18,CAUCA,19,LÓPEZ DE MICAY
19,CAUCA,19,TIMBIQUÍ
20,CAUCA,19,TIMBIQUÍ
21,CAUCA,19,TIMBIQUÍ
22,CAUCA,19,TIMBIQUÍ
23,CAUCA,19,TIMBIQUÍ
24,CAUCA,19,TIMBIQUÍ
25,CAUCA,19,TIMBIQUÍ
26,CAUCA,19,TIMBIQUÍ
27,CHOCÓ,27,ACANDÍ
28,CHOCÓ,27,ACANDÍ
29,CHOCÓ,27,ALTO BAUDÓ (PIE DE PATO)
30,CHOCÓ,27,BAHÍA SOLANO (MUTIS)
31,CHOCÓ,27,BAHÍA SOLANO (MUTIS)
32,CHOCÓ,27,BAHÍA SOLANO (MUTIS)
33,CHOCÓ,27,BAJO BAUDÓ (PIZARRO)
34,CHOCÓ,27,BOJAYÁ (BELLAVISTA)
35,CHOCÓ,27,BOJAYÁ (BELLAVISTA)
36,CHOCÓ,27,BOJAYÁ (BELLAVISTA)
37,CHOCÓ,27,EL LITORAL DEL SAN JUAN
38,CHOCÓ,27,MEDIO ATRATO (BETÉ)
39,CHOCÓ,27,NUQUÍ
40,CHOCÓ,27,NUQUÍ
41,CHOCÓ,27,NUQUÍ
42,CHOCÓ,27,QUIBDÓ
43,CHOCÓ,27,SIPÍ
44,CHOCÓ,27,UNGUÍA
45,CHOCÓ,27,UNGUÍA
46,CHOCÓ,27,UNGUÍA
47,GUAINÍA,94,BARRANCOMINAS
48,GUAINÍA,94,INÍRIDA
49,GUAVIARE,95,MIRAFLORES
50,LA GUAJIRA,44,URIBIA
51,MAGDALENA,47,CIÉNAGA
52,META,50,MAPIRIPÁN
53,NARIÑO,52,EL CHARCO
54,NARIÑO,52,EL CHARCO
55,NARIÑO,52,EL CHARCO
56,NARIÑO,52,LA TOLA
57,NARIÑO,52,LA TOLA
58,NARIÑO,52,LA TOLA
59,NARIÑO,52,LA TOLA
60,NARIÑO,52,OLAYA HERRERA
61,NARIÑO,52,OLAYA HERRERA
62,NARIÑO,52,SAN ANDRÉS DE TUMACO
63,NARIÑO,52,SAN ANDRÉS DE TUMACO
64,NARIÑO,52,SAN ANDRÉS DE TUMACO
65,NARIÑO,52,SAN ANDRÉS DE TUMACO
66,NARIÑO,52,SAN ANDRÉS DE TUMACO
67,NARIÑO,52,SAN ANDRÉS DE TUMACO
68,NARIÑO,52,SAN ANDRÉS DE TUMACO
69,NARIÑO,52,SANTA BÁRBARA (ISCUANDÉ)
70,NARIÑO,52,SANTA BÁRBARA (ISCUANDÉ)
